Year;Month;Day;PM25max;O3max;Death;Tmean;RH;OXmax
2000;11;19;29;19.2;4;-4.176265135;80.19504354;12.8143879173291
2000;11;20;19;19.6;3;-2.340266998;76.08985059;14.6391096979332
2000;11;21;29;16.6;3;-2.453430612;85.319325;13.6959459459459
2000;11;22;15;17.6;7;-4.654920832;81.42191051;13.4328298887122
2000;11;23;7;23;2;-8.63070475;80.12045289;16.8863275039746
2000;11;24;9;25.8;4;-11.59445824;74.56917007;17.8449920508744
2000;11;25;41;21.4;5;-9.278484943;62.72663829;17.5
2000;11;26;41;25.2;3;-4.291679603;59.18843346;18.5616057233704
2000;11;27;5;26.2;2;0.15352375;90.62050715;19.2058823529412
2000;11;28;12;19.8;4;-0.236494877;94.14953105;15.7988871224165
2000;11;29;15;6.6;3;0.038652592;90.85198571;8.11883942766296
2000;11;30;10;18.6;2;-2.459251785;87.91777843;13.7885532591415
2000;12;1;4;27.2;3;-5.886137845;86.85601778;18.2213831478537
2000;12;2;4;35;2;-8.240453275;82.58930839;23.1283783783784
2000;12;3;8;25.6;5;-9.254501708;68.24784432;17.7317170111288
2000;12;4;26;18.2;0;-5.700015523;72.70290396;15.3247217806041
2000;12;5;36;21.8;2;-5.134973611;72.59529866;17.56240063593
2000;12;6;5;29.2;5;-12.20304253;65.51204457;20.1697138314785
2000;12;7;16;29.6;2;-16.55409811;54.90285846;20.9844992050874
2000;12;8;21;27.4;3;-22.93115492;57.50926588;19.3759936406995
2000;12;9;205;31;5;-22.94597951;54.47404864;21.0254372019078
2000;12;10;37;26;2;-15.31092828;34.08334786;22.6546104928458
2000;12;11;28;19.8;2;-5.554020491;78.15191085;15.618839427663
2000;12;12;103;30.8;6;-9.692486805;55.69552173;21.3501589825119
2000;12;13;18;27.8;3;-19.44877367;49.07057218;19.7420508744038
2000;12;14;31;26;4;-12.97198075;62.73096967;19.6081081081081
2000;12;15;56;21;2;-13.44621236;59.8229817;17.2730524642289
2000;12;16;35;26.2;2;-7.508537721;45.01482417;19.8763910969793
2000;12;17;2;27.8;3;1.510012419;66.78585156;20.1081081081081
2000;12;18;9;30.8;4;-6.064498603;55.6738001;20.8139904610493
2000;12;19;14;27.2;4;-12.26164235;73.08972202;19.5616057233704
2000;12;20;7;28.2;6;-10.28244334;86.26640558;19.7213831478537
2000;12;21;15;25;5;-12.63474076;74.73774371;19.1649443561208
2000;12;22;31;19.8;5;-12.87434027;61.68867484;22.5003974562798
