Year;Month;Day;PM25max;O3max;NO2max;Death;Tmean;Tmax;RH;OXmax
2000;7;3;25.25;60.42857143;30.75;29;19.08;21.432047402924862;85.19120124;46.0052464228935
2000;7;4;19.75;41.86666667;28.5;40;20.93;26.44616742309632;67.22069058;42.8155802861685
2000;7;5;4.333333333;19.46666667;13.75;30;16.81;21.01828038325769;73.36108755;30.0501517560341
2000;7;6;11.5;20.93333333;15.83333333;36;16.79;22.87481089258699;63.59581389;14.4133545310016
2000;7;7;13.5;21.33333333;27.75;28;14.96;20.26084215834594;67.84586254;15.8245411186588
2000;7;8;15;28.33333333;30.16666667;25;17.3;24.704866364094805;56.86232067;16.6784217372453
2000;7;9;14;33;27.08333333;31;16.98;19.86434694906707;82.15531045;20.1543575661223
2000;7;10;13.5;28.8;27.41666667;34;19.53;24.028996469994958;73.09592887;23.1823963000434
2000;7;11;7.25;29.66666667;29.08333333;22;18.19;23.746722138174484;66.22467246;21.9585200173435
2000;7;12;13.5;35.13333333;31.41666667;32;20.34;28.128719112455876;55.18097042;21.3727417256829
2000;7;13;43.5;37.6;34.75;35;21;27.646873424104893;61.37069166;27.0578118225177
2000;7;14;26.75;69.06666667;36;29;22.02;28.774583963691377;60.93166092;27.1326781326781
2000;7;15;19.5;40;23.41666667;32;21.01;24.85010085728694;76.62974197;47.0582454111866
2000;7;16;13.25;32.73333333;16.36363636;37;19.87;23.723777105395865;76.24635457;27.2722936840584
2000;7;17;19.25;40.8;27;30;21.16;25.405446293494705;74.23230318;22.9491255961844
2000;7;18;18.5;35.53333333;24.25;36;20.11;24.127332324760463;75.29516759;28.6941754588813
2000;7;19;9;25.21428571;25.58333333;33;15.96;20.022818961169943;74.51647794;25.0369634340223
2000;7;20;18.75;36.4;37.5;37;15.87;23.648008068582953;54.35842071;19.147853736089
2000;7;21;17.25;41.64285714;32.66666667;27;17.27;21.513111447302066;73.88380136;26.1111432287903
2000;7;22;11.5;28.13333333;16.5;42;17.36;21.20801815431165;76.40397105;30.6087584911114
2000;7;23;8.75;27.66666667;21.08333333;24;19.11;25.180786686838125;63.79339011;19.3532591414944
2000;7;24;16.25;38.33333333;34;30;20.95;27.933812405446293;59.5637739;18.5188611070964
